LabelNorm,RawLabelExample,SubjectID,TrainCount,DevCount,TestCount,TotalCount
besamung,Besamung,gnd:4069353-3,3,0,0,3
besatz (pflanzenbau),Besatz (Pflanzenbau),gnd:7662116-9,2,0,0,2
besatzungsmacht,Besatzungsmacht,gnd:4144847-9,1,1,4,6
besatzungspolitik,Besatzungspolitik,gnd:4005975-3,11,2,4,17
besatzungsrecht,Besatzungsrecht,gnd:4144848-0,0,0,1,1
besatzungstruppe,Besatzungstruppe,gnd:4144850-9,1,0,0,1
besatzungszone,Besatzungszone,gnd:4144851-0,0,0,1,1
beschaffung,Beschaffung,gnd:4005988-1,34,9,23,66
beschaffungsforschung,Beschaffungsforschung,gnd:4144858-3,1,0,0,1
beschaffungslogistik,Beschaffungslogistik,gnd:4254827-5,6,1,3,10
beschaffungsmarketing,Beschaffungsmarketing,gnd:4112728-6,10,2,7,19
beschaffungsorganisation,Beschaffungsorganisation,gnd:4131992-8,2,0,1,3
beschaffungsplanung,Beschaffungsplanung,gnd:4136231-7,4,0,0,4
beschaffungspolitik,Beschaffungspolitik,gnd:4431198-9,10,3,5,18
beschaufelung,Beschaufelung,gnd:4144860-1,2,0,0,2
bescheidenheit,Bescheidenheit,gnd:4265699-0,1,0,0,1
bescheinigung,Bescheinigung,gnd:4144862-5,1,0,0,1
beschichten,Beschichten,gnd:4005996-0,19,5,1,25
beschichtung,Beschichtung,gnd:4144863-7,25,7,2,34
beschichtungsstoff,Beschichtungsstoff,gnd:4144864-9,8,2,0,10
beschimpfung,Beschimpfung,gnd:4144866-2,1,0,0,1
beschlagnahme,Beschlagnahme,gnd:4144867-4,2,0,1,3
beschleuniger-massenspektrometrie,Beschleuniger-Massenspektrometrie,gnd:4144868-6,1,1,0,2
beschleunigtes verfahren,Beschleunigtes Verfahren,gnd:4144869-8,1,1,0,2
beschleunigung,Beschleunigung,gnd:4144870-4,17,4,1,22
beschleunigungsmesser,Beschleunigungsmesser,gnd:4144871-6,0,1,0,1
beschleunigungssensor,Beschleunigungssensor,gnd:4144872-8,5,0,1,6
beschluss,Beschluss,gnd:4131889-4,5,1,1,7
beschlussfassung,Beschlussfassung,gnd:4194435-5,1,1,0,2
beschlussverfahren,Beschlussverfahren,gnd:4006001-9,1,0,0,1
beschneidung (frau),Beschneidung (Frau),gnd:7648122-0,2,2,1,5
beschneidung (mann),Beschneidung (Mann),gnd:4144874-1,3,1,0,4
beschreibstoff,Beschreibstoff,gnd:4144881-9,3,1,1,5
beschreibung,Beschreibung,gnd:4144882-0,0,1,1,2
beschreibungssprache,Beschreibungssprache,gnd:4131473-6,2,2,1,5
beschriftung,Beschriftung,gnd:4298755-6,0,0,1,1
beschränkte kohomologie,Beschränkte Kohomologie,gnd:1292089059,1,0,0,1
beschränkter operator,Beschränkter Operator,gnd:4233452-4,1,0,0,1
beschränktes gebiet,Beschränktes Gebiet,gnd:4112729-8,0,1,0,1
beschränktheit (mathematik),Beschränktheit (Mathematik),gnd:4289271-5,0,1,0,1
beschränkung,Beschränkung,gnd:4247482-6,30,7,4,41
beschränkung (linguistik),Beschränkung (Linguistik),gnd:4569189-7,2,0,0,2
beschuldigter,Beschuldigter,gnd:4144883-2,4,1,0,5
beschuldigung,Beschuldigung,gnd:4518016-7,3,0,0,3
beschwerde,Beschwerde,gnd:4006012-3,2,0,3,5
beschwerdeberechtigung,Beschwerdeberechtigung,gnd:4144885-6,1,0,0,1
beschwörung,Beschwörung,gnd:4144891-1,0,0,2,2
beschädigung,Beschädigung,gnd:4273137-9,1,1,0,2
beschäftigung,Beschäftigung,gnd:4005979-0,24,5,14,43
beschäftigungsentwicklung,Beschäftigungsentwicklung,gnd:4135129-0,11,0,3,14
beschäftigungsform,Beschäftigungsform,gnd:4144854-6,1,0,1,2
beschäftigungsfähigkeit,Beschäftigungsfähigkeit,gnd:4767789-2,6,2,3,11
beschäftigungsförderung,Beschäftigungsförderung,gnd:4112727-4,6,1,1,8
beschäftigungsgesellschaft,Beschäftigungsgesellschaft,gnd:4278417-7,3,1,0,4
beschäftigungsniveau,Beschäftigungsniveau,gnd:4127924-4,1,0,0,1
beschäftigungsplan,Beschäftigungsplan,gnd:4238914-8,0,1,0,1
beschäftigungspolitik,Beschäftigungspolitik,gnd:4005982-0,21,11,10,42
beschäftigungsstruktur,Beschäftigungsstruktur,gnd:4005983-2,6,0,2,8
beschäftigungssystem,Beschäftigungssystem,gnd:4212285-5,3,0,0,3
beschäftigungstheorie,Beschäftigungstheorie,gnd:4127364-3,22,3,12,37
beschäftigungstherapie,Beschäftigungstherapie,gnd:4005986-8,1,1,0,2
beschäftigungswirkung,Beschäftigungswirkung,gnd:4126724-2,11,4,4,19
beseitigung,Beseitigung,gnd:4260074-1,2,0,0,2
beseitigungsanspruch,Beseitigungsanspruch,gnd:4131666-6,0,0,2,2
besessenheit,Besessenheit,gnd:4006019-6,1,0,0,1
besetzte gebiete,Besetzte Gebiete,gnd:4287865-2,4,1,1,6
besetzung,Besetzung,gnd:4006020-2,23,5,11,39
besetzung (motiv),Besetzung (Motiv),gnd:4654177-9,1,0,1,2
besicherung,Besicherung,gnd:4283056-4,1,0,0,1
besitz,Besitz,gnd:4006023-8,2,0,2,4
besitz (motiv),Besitz (Motiv),gnd:4222110-9,0,2,0,2
besitzer,Besitzer,gnd:4144900-9,1,1,0,2
besitzgesellschaft,Besitzgesellschaft,gnd:4144902-2,1,0,0,1
besitzrecht,Besitzrecht,gnd:4131803-1,1,0,1,2
besitzschutz,Besitzschutz,gnd:4138441-6,0,0,1,1
besitzverhalten,Besitzverhalten,gnd:4144907-1,1,0,0,1
besoldung,Besoldung,gnd:4006028-7,0,1,0,1
besonderer teil,Besonderer Teil,gnd:4144910-1,20,5,16,41
besonderes verwaltungsrecht,Besonderes Verwaltungsrecht,gnd:4126848-9,3,0,2,5
besonderheit,Besonderheit,gnd:4006032-9,1,0,0,1
besonders schwerer fall,Besonders schwerer Fall,gnd:4401347-4,1,0,1,2
besov-raum,Besov-Raum,gnd:4144913-7,5,1,0,6
bessel-funktionen,Bessel-Funktionen,gnd:4069359-4,2,0,0,2
bessel-polynom,Bessel-Polynom,gnd:4144915-0,0,1,0,1
bessel-prozess,Bessel-Prozess,gnd:1122311176,0,1,0,1
bestandsaufbau,Bestandsaufbau,gnd:4144921-6,5,0,0,5
bestandserhaltung,Bestandserhaltung,gnd:4129964-4,9,2,1,12
bestandserschließung,Bestandserschließung,gnd:4144925-3,4,0,0,4
bestandsmanagement,Bestandsmanagement,gnd:4423366-8,7,1,2,10
bestandsrechnung,Bestandsrechnung,gnd:4144926-5,1,0,0,1
bestandsschutz,Bestandsschutz,gnd:4191672-4,2,1,1,4
bestattung,Bestattung,gnd:4006054-8,6,0,7,13
bestattungsrecht,Bestattungsrecht,gnd:4144930-7,1,0,0,1
bestattungsritus,Bestattungsritus,gnd:4204578-2,7,1,5,13
beste approximation,Beste Approximation,gnd:4144932-0,0,1,1,2
bestechung,Bestechung,gnd:4144934-4,9,3,4,16
besteck,Besteck,gnd:4144935-6,1,0,0,1
bestellmengenpolitik,Bestellmengenpolitik,gnd:4200252-7,0,1,0,1
bestellung (recht),Bestellung (Recht),gnd:4301837-3,1,0,0,1
besteuerungsgrundlage,Besteuerungsgrundlage,gnd:4198716-0,1,0,1,2
besteuerungsprinzip,Besteuerungsprinzip,gnd:4203135-7,2,0,0,2
besteuerungsverfahren,Besteuerungsverfahren,gnd:4006066-4,12,4,5,21
bestimmter artikel,Bestimmter Artikel,gnd:4144947-2,1,0,0,1
bestimmtes integral,Bestimmtes Integral,gnd:4138576-7,1,0,0,1
bestimmtheitsgebot,Bestimmtheitsgebot,gnd:4006070-6,10,0,0,10
bestimmung,Bestimmung,gnd:4144949-6,5,2,0,7
bestimmungsbuch,Bestimmungsbuch,gnd:4144950-2,3,1,0,4
bestrahlung,Bestrahlung,gnd:4144952-6,1,0,0,1
bestrahlungsplan,Bestrahlungsplan,gnd:4282653-6,2,0,0,2
bestseller,Bestseller,gnd:4006077-9,2,1,3,6
bestärkendes lernen (künstliche intelligenz),Bestärkendes Lernen (Künstliche Intelligenz),gnd:4825546-4,17,8,3,28
bestätigung,Bestätigung,gnd:4461619-3,1,0,0,1
bestäuber,Bestäuber,gnd:4415888-9,1,0,0,1
bestäubung,Bestäubung,gnd:4007211-3,0,0,1,1
bestäubungsökologie,Bestäubungsökologie,gnd:4371748-2,1,1,1,3
besuch,Besuch,gnd:4144953-8,4,1,2,7
besucher,Besucher,gnd:4138535-4,5,0,0,5
besucherführung,Besucherführung,gnd:4231341-7,2,0,0,2
besuchermanagement,Besuchermanagement,gnd:4736154-2,1,0,0,1
besucherverhalten,Besucherverhalten,gnd:4144955-1,1,0,1,2
besucherzentrum,Besucherzentrum,gnd:4710959-2,0,1,0,1
beta-lactam-resistenz,Beta-Lactam-Resistenz,gnd:4144963-0,1,0,0,1
betafaktor,Betafaktor,gnd:4336383-0,2,1,1,4
betamethason,Betamethason,gnd:4333663-2,0,1,0,1
betazerfall,Betazerfall,gnd:4144976-9,2,0,0,2
beteiligtsein,Beteiligtsein,gnd:4197450-5,0,1,0,1
beteiligung,Beteiligung,gnd:4006092-5,14,2,7,23
beteiligungsfinanzierung,Beteiligungsfinanzierung,gnd:4144978-2,12,1,4,17
beteiligungsrecht,Beteiligungsrecht,gnd:4140384-8,1,0,0,1
betelnuss,Betelnuss,gnd:4223395-1,0,1,0,1
bethe-ansatz,Bethe-Ansatz,gnd:4121011-6,1,1,0,2
bethe-gittermodell,Bethe-Gittermodell,gnd:4208096-4,0,1,0,1
bethe-salpeter-gleichung,Bethe-Salpeter-Gleichung,gnd:4144979-4,0,0,1,1
beton,Beton,gnd:4006111-5,40,13,5,58
betonbau,Betonbau,gnd:4006115-2,14,9,4,27
betonbauteil,Betonbauteil,gnd:4125673-6,2,1,0,3
betonbrücke,Betonbrücke,gnd:4144981-2,2,1,0,3
betonherstellung,Betonherstellung,gnd:4144989-7,3,1,1,5
betonkonstruktion,Betonkonstruktion,gnd:4144990-3,5,4,0,9
betonmischung,Betonmischung,gnd:4144992-7,2,0,0,2
betonprüfung,Betonprüfung,gnd:4144994-0,5,1,0,6
betonsanierung,Betonsanierung,gnd:4192233-5,4,1,1,6
betonschaden,Betonschaden,gnd:4144997-6,6,1,3,10
betonstahl,Betonstahl,gnd:4006326-4,0,0,1,1
betonstein,Betonstein,gnd:4210395-2,0,2,0,2
betontechnologie,Betontechnologie,gnd:4145003-6,4,1,0,5
betonverflüssiger,Betonverflüssiger,gnd:4145007-3,1,0,0,1
betonzusatz,Betonzusatz,gnd:4600226-1,2,0,1,3
betonzusatzmittel,Betonzusatzmittel,gnd:4213109-1,3,0,0,3
betonzusatzstoff,Betonzusatzstoff,gnd:4213107-8,3,0,0,3
betonzuschlag,Betonzuschlag,gnd:4134383-9,1,2,1,4
betrachtung (spiritualität),Betrachtung (Spiritualität),gnd:4280396-2,1,0,0,1
betragsraum,Betragsraum,gnd:4145012-7,1,0,0,1
betreibergesellschaft,Betreibergesellschaft,gnd:4569452-7,6,0,0,6
betreutes wohnen,Betreutes Wohnen,gnd:4294827-7,3,1,4,8
betreuung,Betreuung,gnd:4201135-8,7,0,0,7
betreuungslehrer,Betreuungslehrer,gnd:4145015-2,0,0,1,1
betreuungsrecht,Betreuungsrecht,gnd:4266058-0,8,1,4,13
betreuungsverfügung,Betreuungsverfügung,gnd:4364905-1,2,0,0,2
betrieb,Betrieb,gnd:4006138-3,11,2,4,17
betriebliche altersversorgung,Betriebliche Altersversorgung,gnd:4069375-2,14,4,4,22
betriebliche ausbildung,Betriebliche Ausbildung,gnd:4006141-3,10,2,4,16
betriebliche berufsbildung,Betriebliche Berufsbildung,gnd:4122911-3,1,0,0,1
betriebliche bildungsarbeit,Betriebliche Bildungsarbeit,gnd:4069376-4,6,1,4,11
betriebliche fortbildung,Betriebliche Fortbildung,gnd:4069377-6,40,5,11,56
betriebliche gesundheitsförderung,Betriebliche Gesundheitsförderung,gnd:7509630-4,0,0,1,1
betriebliche kennzahl,Betriebliche Kennzahl,gnd:4069378-8,4,2,4,10
betriebliche ruhegeldverpflichtung,Betriebliche Ruhegeldverpflichtung,gnd:4203967-8,1,0,4,5
betriebliche sozialarbeit,Betriebliche Sozialarbeit,gnd:4069381-8,2,0,0,2
betriebliche sozialleistungen,Betriebliche Sozialleistungen,gnd:4006148-6,1,0,0,1
betriebliche sozialpolitik,Betriebliche Sozialpolitik,gnd:4069383-1,2,0,1,3
betrieblicher ausbilder,Betrieblicher Ausbilder,gnd:4006156-5,3,0,1,4
betrieblicher ausbildungsplan,Betrieblicher Ausbildungsplan,gnd:4200573-5,1,0,0,1
betrieblicher konflikt,Betrieblicher Konflikt,gnd:4145028-0,5,1,2,8
betriebliches eingliederungsmanagement,Betriebliches Eingliederungsmanagement,gnd:7679597-4,4,1,2,7
betriebliches informationssystem,Betriebliches Informationssystem,gnd:4069386-7,61,11,20,92
betriebsanalyse,Betriebsanalyse,gnd:4006164-4,4,1,0,5
betriebsanweisung,Betriebsanweisung,gnd:4224608-8,1,0,0,1
betriebsarzt,Betriebsarzt,gnd:4145031-0,1,0,0,1
betriebsaufgabe,Betriebsaufgabe,gnd:4125278-0,2,0,0,2
betriebsaufspaltung,Betriebsaufspaltung,gnd:4006171-1,5,0,3,8
betriebsausgaben,Betriebsausgaben,gnd:4006172-3,1,0,0,1
betriebsbeauftragter,Betriebsbeauftragter,gnd:4140842-1,2,1,0,3
betriebsbedingte kündigung,Betriebsbedingte Kündigung,gnd:4126937-8,2,0,0,2
betriebsdaten,Betriebsdaten,gnd:4145038-3,12,2,1,15
betriebsfestigkeit,Betriebsfestigkeit,gnd:4006178-4,9,1,0,10
betriebsform,Betriebsform,gnd:4202858-9,0,1,0,1
betriebsführung,Betriebsführung,gnd:4006179-6,7,1,2,10
betriebsführungsvertrag,Betriebsführungsvertrag,gnd:4145044-9,0,0,1,1
betriebsgröße,Betriebsgröße,gnd:4145046-2,2,1,1,4
betriebshaftpflichtversicherung,Betriebshaftpflichtversicherung,gnd:4215972-6,0,0,1,1
betriebsinterner arbeitsmarkt,Betriebsinterner Arbeitsmarkt,gnd:4196933-9,1,0,0,1
betriebskindergarten,Betriebskindergarten,gnd:7571585-5,0,0,1,1
betriebsklima,Betriebsklima,gnd:4006188-7,2,0,1,3
betriebskosten,Betriebskosten,gnd:4006191-7,0,2,0,2
betriebskriminalität,Betriebskriminalität,gnd:4145050-4,1,0,0,1
betriebslast,Betriebslast,gnd:4534681-1,1,0,0,1
betriebsmesstechnik,Betriebsmesstechnik,gnd:4145052-8,1,0,0,1
betriebsmittelverwaltung,Betriebsmittelverwaltung,gnd:4417917-0,5,1,2,8
betriebsplan,Betriebsplan,gnd:4289012-3,1,0,0,1
betriebsplanung,Betriebsplanung,gnd:4006197-8,2,0,2,4
betriebspraktikum,Betriebspraktikum,gnd:4006200-4,1,1,1,3
betriebsprüfung,Betriebsprüfung,gnd:4006201-6,4,1,1,6
betriebspsychologie,Betriebspsychologie,gnd:4135098-4,4,0,0,4
betriebspunkt,Betriebspunkt,gnd:4558146-0,4,0,0,4
betriebspädagogik,Betriebspädagogik,gnd:4122079-1,1,1,1,3
betriebsrat,Betriebsrat,gnd:4006204-1,16,1,6,23
betriebsratsmitglied,Betriebsratsmitglied,gnd:4126757-6,1,2,0,3
betriebsratswahl,Betriebsratswahl,gnd:4130071-3,0,0,1,1
betriebsrisiko,Betriebsrisiko,gnd:4069395-8,2,0,0,2
betriebssicherheit,Betriebssicherheit,gnd:4145063-2,11,5,1,17
betriebssoziologie,Betriebssoziologie,gnd:4145064-4,3,0,1,4
betriebsstätte,Betriebsstätte,gnd:4145066-8,2,0,2,4
betriebsstörung,Betriebsstörung,gnd:4145068-1,1,0,0,1
betriebssystem,Betriebssystem,gnd:4006216-8,39,15,7,61
betriebstemperatur,Betriebstemperatur,gnd:4342527-6,1,0,0,1
betriebsvereinbarung,Betriebsvereinbarung,gnd:4006230-2,2,0,5,7
betriebsverfassung,Betriebsverfassung,gnd:4006231-4,1,1,1,3
betriebsverfassungsrecht,Betriebsverfassungsrecht,gnd:4122914-9,2,1,2,5
betriebsvergleich,Betriebsvergleich,gnd:4006232-6,2,0,1,3
betriebsverhalten,Betriebsverhalten,gnd:4138142-7,11,4,0,15
betriebswirt,Betriebswirt,gnd:4145078-4,3,1,0,4
betriebswirtschaftliche statistik,Betriebswirtschaftliche Statistik,gnd:4006243-0,3,0,0,3
betriebswirtschaftliche steuerlehre,Betriebswirtschaftliche Steuerlehre,gnd:4069399-5,12,4,6,22
betriebswirtschaftliches studium,Betriebswirtschaftliches Studium,gnd:4006244-2,8,3,5,16
betriebswirtschaftslehre,Betriebswirtschaftslehre,gnd:4069402-1,100,23,63,186
betriebszustand,Betriebszustand,gnd:4489165-9,3,2,0,5
betriebsänderung,Betriebsänderung,gnd:4006162-0,1,0,0,1
betriebsärztlicher dienst,Betriebsärztlicher Dienst,gnd:4145030-9,0,1,1,2
betriebsübergang,Betriebsübergang,gnd:4134701-8,11,0,0,11
betriebsüberwachung,Betriebsüberwachung,gnd:4356752-6,1,1,0,2
betroffener,Betroffener,gnd:4252220-1,2,0,0,2
betrug,Betrug,gnd:4006249-1,17,2,2,21
betrug (motiv),Betrug (Motiv),gnd:4208658-9,1,0,0,1
betrüger,Betrüger,gnd:4145082-6,2,0,0,2
bett,Bett,gnd:4006250-8,1,0,0,1
betteln,Betteln,gnd:4145087-5,1,0,0,1
bettelorden,Bettelorden,gnd:4145088-7,0,0,1,1
betti-zahl,Betti-Zahl,gnd:4231040-4,2,0,0,2
bettler,Bettler,gnd:4145090-5,1,0,0,1
betäubungsmittel,Betäubungsmittel,gnd:4144958-7,1,0,0,1
betäubungsmittelrecht,Betäubungsmittelrecht,gnd:4006083-4,2,0,0,2
betäubungsmittelstrafrecht,Betäubungsmittelstrafrecht,gnd:4294645-1,2,0,0,2
beugung,Beugung,gnd:4145094-2,9,2,0,11
beugungsbegrenzung,Beugungsbegrenzung,gnd:4259168-5,0,1,0,1
beugungsgitter,Beugungsgitter,gnd:4122915-0,16,2,1,19
beugungsproblem,Beugungsproblem,gnd:4346551-1,0,1,0,1
beugungstheorie,Beugungstheorie,gnd:4268180-7,2,1,0,3
beulung,Beulung,gnd:4145101-6,5,0,0,5
beurkundung,Beurkundung,gnd:4145104-1,2,0,0,2
beurteilung,Beurteilung,gnd:4132339-7,14,3,2,19
beurteilungsmerkmal,Beurteilungsmerkmal,gnd:4253131-7,1,0,0,1
beurteilungsspielraum,Beurteilungsspielraum,gnd:4122080-8,2,0,0,2
bevollmächtigter,Bevollmächtigter,gnd:4321159-8,1,0,0,1
bevormundung,Bevormundung,gnd:4497321-4,0,0,1,1
bevölkerung,Bevölkerung,gnd:4006287-9,44,6,10,60
bevölkerungsaustausch,Bevölkerungsaustausch,gnd:4347140-7,1,0,0,1
bevölkerungsdichte,Bevölkerungsdichte,gnd:4006291-0,1,2,0,3
bevölkerungsentwicklung,Bevölkerungsentwicklung,gnd:4006292-2,131,32,61,224
bevölkerungsgeografie,Bevölkerungsgeografie,gnd:4006293-4,8,0,1,9
bevölkerungsgruppe,Bevölkerungsgruppe,gnd:4298384-8,2,0,2,4
bevölkerungspolitik,Bevölkerungspolitik,gnd:4006295-8,6,4,2,12
bevölkerungsrückgang,Bevölkerungsrückgang,gnd:4194892-0,9,4,0,13
bevölkerungssoziologie,Bevölkerungssoziologie,gnd:4470595-5,2,0,1,3
bevölkerungsstatistik,Bevölkerungsstatistik,gnd:4006298-3,1,0,4,5
bevölkerungsstruktur,Bevölkerungsstruktur,gnd:4246600-3,3,0,1,4
bevölkerungswachstum,Bevölkerungswachstum,gnd:4129300-9,7,0,4,11
bevölkerungsökonomie,Bevölkerungsökonomie,gnd:4006294-6,26,5,10,41
bewachung,Bewachung,gnd:4334960-2,1,0,0,1
bewachungsgewerbe,Bewachungsgewerbe,gnd:4112742-0,6,1,4,11
bewaffneter konflikt,Bewaffneter Konflikt,gnd:4137568-3,21,9,13,43
bewegliche sache,Bewegliche Sache,gnd:4006308-2,1,1,0,2
beweglichkeit (motorik),Beweglichkeit (Motorik),gnd:4145125-9,2,0,0,2
beweglichkeitstraining,Beweglichkeitstraining,gnd:4145126-0,2,0,1,3
bewegte schule,Bewegte Schule,gnd:4510321-5,3,1,5,9
bewegtes bild,Bewegtes Bild,gnd:4145128-4,4,1,1,6
bewegung,Bewegung,gnd:4006311-2,24,2,6,32
bewegung (motiv),Bewegung (Motiv),gnd:4228201-9,3,0,0,3
bewegungsablauf,Bewegungsablauf,gnd:4145130-2,2,1,0,3
bewegungsanalyse,Bewegungsanalyse,gnd:4122917-4,6,3,1,10
bewegungsanalyse (technik),Bewegungsanalyse (Technik),gnd:4302721-0,4,1,0,5
bewegungsapparat,Bewegungsapparat,gnd:4006318-5,8,1,5,14
bewegungsbeobachtung,Bewegungsbeobachtung,gnd:4145131-4,1,0,0,1
bewegungserfahrung,Bewegungserfahrung,gnd:4208101-4,1,0,0,1
bewegungserziehung,Bewegungserziehung,gnd:4069418-5,23,4,13,40
bewegungsfertigkeit,Bewegungsfertigkeit,gnd:4145137-5,0,0,1,1
bewegungsgedächtnis,Bewegungsgedächtnis,gnd:4145139-9,1,0,0,1
bewegungsgestaltung,Bewegungsgestaltung,gnd:4145140-5,0,1,0,1
bewegungsgleichung,Bewegungsgleichung,gnd:4006321-5,4,1,0,5
bewegungskompensation,Bewegungskompensation,gnd:4318038-3,1,0,0,1
bewegungskoordination,Bewegungskoordination,gnd:4145145-4,3,1,1,5
bewegungskultur,Bewegungskultur,gnd:4145146-6,1,0,0,1
bewegungskünste,Bewegungskünste,gnd:4306724-4,1,0,0,1
bewegungslehre,Bewegungslehre,gnd:4069421-5,10,1,2,13
bewegungsmessung,Bewegungsmessung,gnd:4145152-1,1,1,1,3
bewegungsmuster,Bewegungsmuster,gnd:4127337-0,0,2,2,4
bewegungsphysiologie,Bewegungsphysiologie,gnd:4145156-9,1,0,0,1
bewegungsregelung,Bewegungsregelung,gnd:1135924376,0,1,0,1
bewegungsschulung,Bewegungsschulung,gnd:4127947-5,2,0,1,3
bewegungsspiel,Bewegungsspiel,gnd:4006323-9,15,2,8,25
bewegungssteuerung,Bewegungssteuerung,gnd:4145160-0,3,3,1,7
bewegungsstörung,Bewegungsstörung,gnd:4069422-7,2,0,0,2
bewegungstherapie,Bewegungstherapie,gnd:4006324-0,3,0,3,6
bewegungsverb,Bewegungsverb,gnd:4145163-6,1,0,0,1
bewegungsverhalten,Bewegungsverhalten,gnd:4145164-8,2,1,2,5
bewegungswahrnehmung,Bewegungswahrnehmung,gnd:4145167-3,2,1,1,4
bewehrte erde,Bewehrte Erde,gnd:4145168-5,1,0,0,1
bewehrung,Bewehrung,gnd:4006325-2,7,2,0,9
bewehrungsstab,Bewehrungsstab,gnd:4145169-7,1,0,0,1
beweidung,Beweidung,gnd:4112745-6,2,1,0,3
beweis,Beweis,gnd:4132532-1,35,12,4,51
beweisassistent,Beweisassistent,gnd:1292700963,2,0,0,2
beweisaufnahme,Beweisaufnahme,gnd:4145171-5,5,0,0,5
beweisbarkeit,Beweisbarkeit,gnd:7578966-8,1,0,0,1
beweiserhebungsverbot,Beweiserhebungsverbot,gnd:4145173-9,0,0,1,1
beweisführung,Beweisführung,gnd:4227233-6,3,0,4,7
beweiskraft,Beweiskraft,gnd:7857638-6,1,0,1,2
beweislast,Beweislast,gnd:4006331-8,6,1,2,9
beweislastumkehr,Beweislastumkehr,gnd:4238467-9,2,0,0,2
beweismittel,Beweismittel,gnd:4145175-2,3,1,2,6
beweissicherung,Beweissicherung,gnd:4145176-4,1,1,0,2
beweistheorie,Beweistheorie,gnd:4145177-6,18,4,7,29
beweisverbot,Beweisverbot,gnd:4145178-8,3,0,1,4
beweisverwertung,Beweisverwertung,gnd:7753486-4,7,1,0,8
beweisverwertungsverbot,Beweisverwertungsverbot,gnd:4195378-2,2,0,1,3
beweiswürdigung,Beweiswürdigung,gnd:4131215-6,3,1,2,6
bewerbung,Bewerbung,gnd:4006338-0,23,8,8,39
bewerbungsschreiben,Bewerbungsschreiben,gnd:4145181-8,5,0,0,5
bewerteter schiefkörper,Bewerteter Schiefkörper,gnd:4316899-1,1,0,0,1
bewertung,Bewertung,gnd:4006340-9,94,18,26,138
bewertung (mathematik),Bewertung (Mathematik),gnd:4394368-8,2,0,0,2
bewertungseinheit,Bewertungseinheit,gnd:4382645-3,0,1,0,1
bewertungsportal,Bewertungsportal,gnd:1247382699,5,0,0,5
bewertungsrecht,Bewertungsrecht,gnd:4122082-1,1,0,0,1
bewertungsring,Bewertungsring,gnd:4145185-5,1,0,0,1
bewertungssystem,Bewertungssystem,gnd:4145186-7,5,0,1,6
bewertungstheorie,Bewertungstheorie,gnd:4122918-6,3,1,0,4
bewilligung,Bewilligung,gnd:4006344-6,1,0,1,2
bewirtschaftung,Bewirtschaftung,gnd:4121020-7,8,1,0,9
bewirtungsbetrieb,Bewirtungsbetrieb,gnd:4393093-1,0,1,0,1
bewitterung,Bewitterung,gnd:4140819-6,2,0,0,2
bewohner,Bewohner,gnd:4297960-2,11,2,0,13
bewohnerin,Bewohnerin,gnd:4524878-3,1,0,0,1
bewunderung,Bewunderung,gnd:4345675-3,0,1,0,1
bewurzelung,Bewurzelung,gnd:4351390-6,1,1,0,2
bewusstsein,Bewusstsein,gnd:4006349-5,48,7,8,63
bewusstsein (motiv),Bewusstsein (Motiv),gnd:4145190-9,2,0,0,2
bewusstseinsveränderung,Bewusstseinsveränderung,gnd:4145194-6,2,0,0,2
bewusstseinszustand,Bewusstseinszustand,gnd:4237737-7,0,0,1,1
bewährung,Bewährung,gnd:4333437-4,2,0,0,2
bewährungshilfe,Bewährungshilfe,gnd:4006305-7,2,0,1,3
bewältigung,Bewältigung,gnd:4195461-0,77,13,29,119
bewässerung,Bewässerung,gnd:4006306-9,6,3,0,9
bewässerungskanal,Bewässerungskanal,gnd:4006307-0,1,0,0,1
bewässerungssystem,Bewässerungssystem,gnd:4145122-3,2,2,0,4
bewässerungswirtschaft,Bewässerungswirtschaft,gnd:4145124-7,2,1,1,4
bewölkung,Bewölkung,gnd:4006347-1,1,0,0,1
bezahl-content,Bezahl-Content,gnd:4777958-5,2,0,0,2
bezeichnung,Bezeichnung,gnd:4125107-6,1,0,0,1
beziehung,Beziehung,gnd:4145198-3,31,10,5,46
beziehung (motiv),Beziehung (Motiv),gnd:4391329-5,1,0,1,2
beziehungsanalyse,Beziehungsanalyse,gnd:4137589-0,1,0,1,2
beziehungsdiagnostik,Beziehungsdiagnostik,gnd:4145199-5,0,0,1,1
beziehungslehre,Beziehungslehre,gnd:4145200-8,1,0,0,1
beziehungsmanagement,Beziehungsmanagement,gnd:4326109-7,47,12,15,74
beziehungsmarketing,Beziehungsmarketing,gnd:4789127-0,17,3,5,25
beziehungstheoretische didaktik,Beziehungstheoretische Didaktik,gnd:4145202-1,1,0,0,1
bezirksverwaltung,Bezirksverwaltung,gnd:4145207-0,1,0,0,1
bezugsmaterial,Bezugsmaterial,gnd:4208215-8,2,0,0,2
bezugsperson,Bezugsperson,gnd:4133724-4,2,0,1,3
bezugsquelle,Bezugsquelle,gnd:4225753-0,1,0,0,1
bezugssystem,Bezugssystem,gnd:4126032-6,5,0,2,7
bhakti,Bhakti,gnd:4201507-8,1,0,1,2
bialgebra,Bialgebra,gnd:4316695-7,1,1,0,2
biaryle,Biaryle,gnd:4320485-5,1,0,0,1
bias,Bias,gnd:4133271-4,4,0,1,5
bibelarbeit,Bibelarbeit,gnd:4112752-3,7,2,3,12
bibelausgabe,Bibelausgabe,gnd:4194156-1,3,0,0,3
