LabelNorm,RawLabelExample,NumCodes,Codes,RolesPerCode,PrefCount,AltCount
ccd,CCD,2,gnd:4166395-0; gnd:7708514-0,gnd:4166395-0:alt; gnd:7708514-0:alt,0,2
cdm,CDM,2,gnd:4230260-2; gnd:4835547-1,gnd:4230260-2:alt; gnd:4835547-1:alt,0,2
cdo,CDO,2,gnd:1256854328; gnd:4614551-5,gnd:1256854328:alt; gnd:4614551-5:pref,1,1
cellerarius,Cellerarius,2,gnd:1372763384; gnd:7660422-6,gnd:1372763384:alt; gnd:7660422-6:alt,0,2
"cenomanium,übergangszeit","Cenomanium,Übergangszeit",2,gnd:4598333-1; gnd:4683594-5,gnd:4598333-1:alt; gnd:4683594-5:alt,0,2
cep,CEP,2,gnd:1073132080; gnd:4302438-5,gnd:1073132080:alt; gnd:4302438-5:alt,0,2
ceramiaceae,Ceramiaceae,2,gnd:4009684-1; gnd:7531567-1,gnd:4009684-1:pref; gnd:7531567-1:alt,1,1
ceratitis,Ceratitis,2,gnd:4160668-1; gnd:4741976-3,gnd:4160668-1:alt; gnd:4741976-3:pref,1,1
cfc,CFC,2,gnd:4448314-4; gnd:7687556-8,gnd:4448314-4:alt; gnd:7687556-8:alt,0,2
cfd,CFD,2,gnd:4690080-9; gnd:4835166-0,gnd:4690080-9:alt; gnd:4835166-0:alt,0,2
cfs,CFS,2,gnd:4265096-3; gnd:4302839-1,gnd:4265096-3:alt; gnd:4302839-1:alt,0,2
cgm,CGM,2,gnd:4197505-4; gnd:7753810-9,gnd:4197505-4:pref; gnd:7753810-9:alt,1,1
chachet,Chachet,2,gnd:4400101-0; gnd:7708294-1,gnd:4400101-0:alt; gnd:7708294-1:alt,0,2
chaga,Chaga,2,gnd:1069614343; gnd:4009704-3,gnd:1069614343:alt; gnd:4009704-3:alt,0,2
chalaj,Chalaj,2,gnd:1095799665; gnd:4198357-9,gnd:1095799665:alt; gnd:4198357-9:alt,0,2
chalara fraxinea,Chalara fraxinea,2,gnd:1191125491; gnd:119112603X,gnd:1191125491:alt; gnd:119112603X:alt,0,2
chamba,Chamba,2,gnd:1205168672; gnd:4004658-8,gnd:1205168672:alt; gnd:4004658-8:alt,0,2
chamisso-preis,Chamisso-Preis,2,gnd:125143102X; gnd:4141394-5,gnd:125143102X:alt; gnd:4141394-5:alt,0,2
chan,Chan,2,gnd:1308794932; gnd:4213024-4,gnd:1308794932:alt; gnd:4213024-4:alt,0,2
changa,Changa,2,gnd:1139203649; gnd:7676453-9,gnd:1139203649:alt; gnd:7676453-9:alt,0,2
chawi,Chawi,2,gnd:1072727749; gnd:4764791-7,gnd:1072727749:alt; gnd:4764791-7:alt,0,2
chayavita,Chayavita,2,gnd:1072727749; gnd:4441776-7,gnd:1072727749:alt; gnd:4441776-7:alt,0,2
chemosensor,Chemosensor,2,gnd:4133180-1; gnd:4259288-4,gnd:4133180-1:alt; gnd:4259288-4:alt,0,2
chetti,Chetti,2,gnd:4373057-7; gnd:7572611-7,gnd:4373057-7:pref; gnd:7572611-7:alt,1,1
chevalier,Chevalier,2,gnd:1321125623; gnd:4050152-8,gnd:1321125623:pref; gnd:4050152-8:alt,1,1
chiga,Chiga,2,gnd:4430000-1; gnd:4783582-5,gnd:4430000-1:alt; gnd:4783582-5:pref,1,1
chilala,Chilala,2,gnd:4689887-6; gnd:7688939-7,gnd:4689887-6:alt; gnd:7688939-7:alt,0,2
chimbunda,ChiMbunda,2,gnd:4811972-6; gnd:7567384-8,gnd:4811972-6:alt; gnd:7567384-8:alt,0,2
chlorobiaceae,Chlorobiaceae,2,gnd:4147808-3; gnd:4284783-7,gnd:4147808-3:alt; gnd:4284783-7:alt,0,2
cholerese,Cholerese,2,gnd:4341525-8; gnd:7503353-7,gnd:4341525-8:pref; gnd:7503353-7:alt,1,1
chor,Chor,2,gnd:4010045-5; gnd:7594570-8,gnd:4010045-5:pref; gnd:7594570-8:alt,1,1
cic,CIC,2,gnd:4264713-7; gnd:4274446-5,gnd:4264713-7:alt; gnd:4274446-5:alt,0,2
cif,CIF,2,gnd:4148029-6; gnd:7544029-5,gnd:4148029-6:pref; gnd:7544029-5:alt,1,1
cinchona-alkaloide,Cinchona-Alkaloide,2,gnd:4205214-2; gnd:4466840-5,gnd:4205214-2:alt; gnd:4466840-5:alt,0,2
circumventrikuläres organ,Circumventrikuläres Organ,2,gnd:4359560-1; gnd:4397027-8,gnd:4359560-1:alt; gnd:4397027-8:alt,0,2
cirs,CIRS,2,gnd:1202893295; gnd:7665766-8,gnd:1202893295:alt; gnd:7665766-8:alt,0,2
cis,CIS,2,gnd:4324276-5; gnd:4681247-7,gnd:4324276-5:alt; gnd:4681247-7:alt,0,2
classis,Classis,2,gnd:4640454-5; gnd:4779514-1,gnd:4640454-5:alt; gnd:4779514-1:pref,1,1
cle,CLE,2,gnd:4296783-1; gnd:4816715-0,gnd:4296783-1:alt; gnd:4816715-0:pref,1,1
clevner,Clevner,2,gnd:4329078-4; gnd:4465679-8,gnd:4329078-4:alt; gnd:4465679-8:alt,0,2
cli,CLI,2,gnd:1053646933; gnd:4734836-7,gnd:1053646933:alt; gnd:4734836-7:pref,1,1
clipping,Clipping,2,gnd:4166254-4; gnd:4376197-5,gnd:4166254-4:alt; gnd:4376197-5:pref,1,1
clonostachys,Clonostachys,2,gnd:4693242-2; gnd:4693248-3,gnd:4693242-2:alt; gnd:4693248-3:pref,1,1
closed end fund,Closed end fund,2,gnd:4113725-5; gnd:4435543-9,gnd:4113725-5:alt; gnd:4435543-9:alt,0,2
clp,CLP,2,gnd:4382849-8; gnd:4816711-3,gnd:4382849-8:alt; gnd:4816711-3:pref,1,1
cmc,CMC,2,gnd:4535905-2; gnd:7507340-7,gnd:4535905-2:alt; gnd:7507340-7:alt,0,2
cmd,CMD,2,gnd:1327984474; gnd:4608670-5,gnd:1327984474:alt; gnd:4608670-5:alt,0,2
cmp,CMP,2,gnd:4467050-3; gnd:7536566-2,gnd:4467050-3:alt; gnd:7536566-2:alt,0,2
cna,CNA,2,gnd:4559145-3; gnd:7739487-2,gnd:4559145-3:pref; gnd:7739487-2:alt,1,1
cob,Cob,2,gnd:1313250325; gnd:4221873-1,gnd:1313250325:alt; gnd:4221873-1:alt,0,2
cod,COD,2,gnd:1165547457; gnd:4165161-3,gnd:1165547457:alt; gnd:4165161-3:alt,0,2
colachon,Colachon,2,gnd:7662012-8; gnd:7744554-5,gnd:7662012-8:alt; gnd:7744554-5:alt,0,2
coliphage t4,Coliphage T4,2,gnd:4330449-7; gnd:4337825-0,gnd:4330449-7:alt; gnd:4337825-0:alt,0,2
comitatus,Comitatus,2,gnd:4158007-2; gnd:4699099-9,gnd:4158007-2:alt; gnd:4699099-9:alt,0,2
comment,Comment,2,gnd:4164772-5; gnd:4240548-8,gnd:4164772-5:alt; gnd:4240548-8:pref,1,1
community radio,Community Radio,2,gnd:4172489-6; gnd:7522814-2,gnd:4172489-6:alt; gnd:7522814-2:alt,0,2
compressed air energy storage,Compressed Air Energy Storage,2,gnd:1127887378; gnd:7753731-2,gnd:1127887378:alt; gnd:7753731-2:alt,0,2
computerunterstützte fertigung,Computerunterstützte Fertigung,2,gnd:4069816-6; gnd:4171353-9,gnd:4069816-6:alt; gnd:4171353-9:alt,0,2
concordia,Concordia,2,gnd:4148267-0; gnd:7558180-2,gnd:4148267-0:pref; gnd:7558180-2:alt,1,1
conduct disorder,Conduct disorder,2,gnd:4062872-3; gnd:4131705-1,gnd:4062872-3:alt; gnd:4131705-1:alt,0,2
conestoga,Conestoga,2,gnd:7684072-4; gnd:7726046-6,gnd:7684072-4:alt; gnd:7726046-6:alt,0,2
constitutive equation,Constitutive equation,2,gnd:4127344-8; gnd:4681208-8,gnd:4127344-8:alt; gnd:4681208-8:alt,0,2
corel draw x6,Corel DRAW X6,2,gnd:1024876055; gnd:1046291319,gnd:1024876055:alt; gnd:1046291319:alt,0,2
corel draw x7,Corel DRAW X7,2,gnd:1057989878; gnd:1057989908,gnd:1057989878:alt; gnd:1057989908:alt,0,2
corel photopaint,Corel PhotoPaint,2,gnd:4368809-3; gnd:4565585-6,gnd:4368809-3:alt; gnd:4565585-6:alt,0,2
coreldraw x6,CorelDRAW X6,2,gnd:1024876055; gnd:1046291319,gnd:1024876055:alt; gnd:1046291319:pref,1,1
coreldraw x7,CorelDRAW X7,2,gnd:1057989878; gnd:1057989908,gnd:1057989878:pref; gnd:1057989908:alt,1,1
cornett,Cornett,2,gnd:4190840-5; gnd:4197145-0,gnd:4190840-5:alt; gnd:4197145-0:alt,0,2
corynebacterium glutamicum,Corynebacterium glutamicum,2,gnd:4309351-6; gnd:7849355-9,gnd:4309351-6:pref; gnd:7849355-9:alt,1,1
coulomb-gesetz,Coulomb-Gesetz,2,gnd:4148346-7; gnd:7595673-1,gnd:4148346-7:alt; gnd:7595673-1:alt,0,2
cpe,CPE,2,gnd:4412034-5; gnd:4590466-2,gnd:4412034-5:alt; gnd:4590466-2:alt,0,2
cpk,CPK,2,gnd:4147360-7; gnd:4165548-5,gnd:4147360-7:alt; gnd:4165548-5:alt,0,2
cpv,CPV,2,gnd:4267934-5; gnd:4270584-8,gnd:4267934-5:alt; gnd:4270584-8:alt,0,2
critical incident reporting system,Critical Incident Reporting System,2,gnd:1202893295; gnd:7665766-8,gnd:1202893295:pref; gnd:7665766-8:alt,1,1
croton,Croton,2,gnd:4313176-1; gnd:4823975-6,gnd:4313176-1:pref; gnd:4823975-6:alt,1,1
cs,CS,2,gnd:4147928-2; gnd:4263347-3,gnd:4147928-2:alt; gnd:4263347-3:alt,0,2
cst,CST,2,gnd:4703056-2; gnd:4829836-0,gnd:4703056-2:alt; gnd:4829836-0:alt,0,2
ct,ct,2,gnd:4113240-3; gnd:4651359-0,gnd:4113240-3:alt; gnd:4651359-0:pref,1,1
cta,CTA,2,gnd:1060776103; gnd:117919960X,gnd:1060776103:alt; gnd:117919960X:alt,0,2
cultural materialism,Cultural materialism,2,gnd:1245160508; gnd:4509445-7,gnd:1245160508:alt; gnd:4509445-7:pref,1,1
cumalinsäurederivate,Cumalinsäurederivate,2,gnd:4148394-7; gnd:4609853-7,gnd:4148394-7:alt; gnd:4609853-7:pref,1,1
curia,Curia,2,gnd:4236866-2; gnd:7722638-0,gnd:4236866-2:pref; gnd:7722638-0:alt,1,1
cutting-problem,Cutting-Problem,2,gnd:4187972-7; gnd:4303563-2,gnd:4187972-7:alt; gnd:4303563-2:alt,0,2
cvi,CVI,2,gnd:4276975-9; gnd:4280571-5,gnd:4276975-9:alt; gnd:4280571-5:alt,0,2
cyclodextrin-glucanotransferase,Cyclodextrin-Glucanotransferase,2,gnd:4291907-1; gnd:4744607-9,gnd:4291907-1:alt; gnd:4744607-9:alt,0,2
cytochrom-c-reduktase,Cytochrom-c-Reduktase,2,gnd:4171091-5; gnd:4310076-4,gnd:4171091-5:alt; gnd:4310076-4:alt,0,2
da,Da,2,gnd:4235582-5; gnd:7500870-1,gnd:4235582-5:pref; gnd:7500870-1:alt,1,1
daensismus,Daensismus,2,gnd:4504332-2; gnd:4517495-7,gnd:4504332-2:alt; gnd:4517495-7:pref,1,1
dagaare,Dagaare,2,gnd:4010887-9; gnd:4287687-4,gnd:4010887-9:alt; gnd:4287687-4:alt,0,2
dagaari,Dagaari,2,gnd:4010887-9; gnd:4287687-4,gnd:4010887-9:alt; gnd:4287687-4:alt,0,2
dagara,Dagara,2,gnd:4010887-9; gnd:4287687-4,gnd:4010887-9:alt; gnd:4287687-4:alt,0,2
dagati,Dagati,2,gnd:4010887-9; gnd:4287687-4,gnd:4010887-9:alt; gnd:4287687-4:alt,0,2
dam,Dam,2,gnd:4476759-6; gnd:4809608-8,gnd:4476759-6:pref; gnd:4809608-8:alt,1,1
"dama,sprache","Dama,Sprache",2,gnd:125891154X; gnd:7688937-3,gnd:125891154X:alt; gnd:7688937-3:alt,0,2
damenläuferspiel,Damenläuferspiel,2,gnd:4283946-4; gnd:7613439-8,gnd:4283946-4:alt; gnd:7613439-8:alt,0,2
dampflokomotive baureihe g 10,Dampflokomotive Baureihe G 10,2,gnd:4278003-2; gnd:7653283-5,gnd:4278003-2:alt; gnd:7653283-5:alt,0,2
dampflokomotive baureihe t 9,Dampflokomotive Baureihe T 9,2,gnd:1029395012; gnd:7520694-8,gnd:1029395012:alt; gnd:7520694-8:alt,0,2
danger,Danger,2,gnd:4019664-1; gnd:4374955-0,gnd:4019664-1:alt; gnd:4374955-0:pref,1,1
dani,Dani,2,gnd:1080490612; gnd:4090883-5,gnd:1080490612:alt; gnd:4090883-5:pref,1,1
darkhat,Darkhat,2,gnd:4212350-1; gnd:7539709-2,gnd:4212350-1:pref; gnd:7539709-2:alt,1,1
"darstellender künstler,agentur","Darstellender Künstler,Agentur",2,gnd:4493241-8; gnd:4618674-8,gnd:4493241-8:alt; gnd:4618674-8:alt,0,2
datenfernübertragung,Datenfernübertragung,2,gnd:4011150-7; gnd:4132820-6,gnd:4011150-7:alt; gnd:4132820-6:alt,0,2
dauro,Dauro,2,gnd:1141199904; gnd:1141234416,gnd:1141199904:alt; gnd:1141234416:alt,0,2
dawaro,Dawaro,2,gnd:1141199904; gnd:1141234416,gnd:1141199904:alt; gnd:1141234416:alt,0,2
db2 universal database,DB2 Universal Database,2,gnd:4544551-5; gnd:4697986-4,gnd:4544551-5:alt; gnd:4697986-4:alt,0,2
"dbase,windows,programm","dBASE,WINDOWS,Programm",2,gnd:4358075-0; gnd:4373785-7,gnd:4358075-0:alt; gnd:4373785-7:alt,0,2
dbp,dbp,2,gnd:1076677843; gnd:119202785X,gnd:1076677843:alt; gnd:119202785X:alt,0,2
"dbp,chemie","DBP,Chemie",2,gnd:4204373-6; gnd:4323201-2,gnd:4204373-6:alt; gnd:4323201-2:alt,0,2
dc,DC,2,gnd:4011624-4; gnd:4013227-4,gnd:4011624-4:alt; gnd:4013227-4:alt,0,2
ddr-bild,DDR-Bild,2,gnd:1193147263; gnd:4128437-9,gnd:1193147263:alt; gnd:4128437-9:alt,0,2
de,de,2,gnd:4076696-2; gnd:4203021-3,gnd:4076696-2:alt; gnd:4203021-3:pref,1,1
deduktives system,Deduktives System,2,gnd:4004038-0; gnd:4194364-8,gnd:4004038-0:alt; gnd:4194364-8:alt,0,2
dembo,Dembo,2,gnd:4233399-4; gnd:4321298-0,gnd:4233399-4:alt; gnd:4321298-0:alt,0,2
dendrobates pumilio,Dendrobates pumilio,2,gnd:1046878018; gnd:4602292-2,gnd:1046878018:alt; gnd:4602292-2:alt,0,2
derwisch motiv,Derwisch Motiv,2,gnd:1352960303; gnd:4399821-5,gnd:1352960303:pref; gnd:4399821-5:pref,2,0
des,DES,2,gnd:4210552-3; gnd:7708211-4,gnd:4210552-3:alt; gnd:7708211-4:alt,0,2
desertion,Desertion,2,gnd:4153535-2; gnd:4262642-0,gnd:4153535-2:alt; gnd:4262642-0:alt,0,2
designcad 3d max,DesignCAD 3D MAX,2,gnd:1103707965; gnd:7727584-6,gnd:1103707965:pref; gnd:7727584-6:alt,1,1
detektormatrix,Detektormatrix,2,gnd:4136079-5; gnd:4384869-2,gnd:4136079-5:alt; gnd:4384869-2:alt,0,2
"deutsch,mundart","Deutsch,Mundart",2,gnd:4154134-0; gnd:7729132-3,gnd:4154134-0:alt; gnd:7729132-3:alt,0,2
deutsche schrift,Deutsche Schrift,2,gnd:4155146-1; gnd:7683814-6,gnd:4155146-1:alt; gnd:7683814-6:alt,0,2
deutsche schrift von rudolf koch,Deutsche Schrift von Rudolf Koch,2,gnd:7645656-0; gnd:7645820-9,gnd:7645656-0:alt; gnd:7645820-9:alt,0,2
dft,DFT,2,gnd:4150175-5; gnd:4258514-4,gnd:4150175-5:alt; gnd:4258514-4:alt,0,2
dhundhari,Dhundhari,2,gnd:4383221-0; gnd:4757648-0,gnd:4383221-0:alt; gnd:4757648-0:alt,0,2
di,DI,2,gnd:1025111508; gnd:1252652461,gnd:1025111508:alt; gnd:1252652461:pref,1,1
dibenzocycloheptene,Dibenzocycloheptene,2,gnd:1032383917; gnd:1032387122,gnd:1032383917:alt; gnd:1032387122:alt,0,2
dienstanweisung,Dienstanweisung,2,gnd:4063364-0; gnd:4253134-2,gnd:4063364-0:alt; gnd:4253134-2:alt,0,2
diensteanbieter,Diensteanbieter,2,gnd:4406690-9; gnd:4617685-8,gnd:4406690-9:alt; gnd:4617685-8:alt,0,2
diesellokomotive baureihe 101,Diesellokomotive Baureihe 101,2,gnd:4819298-3; gnd:7714002-3,gnd:4819298-3:pref; gnd:7714002-3:alt,1,1
diet,DIET,2,gnd:4012031-4; gnd:4149750-8,gnd:4012031-4:alt; gnd:4149750-8:pref,1,1
digitalpiano,Digitalpiano,2,gnd:4232228-5; gnd:4726989-3,gnd:4232228-5:alt; gnd:4726989-3:pref,1,1
"dimethyloctadien,3,7-dimethylocta-2,6-dien-1-ol","Dimethyloctadien,3,7-Dimethylocta-2,6-dien-1-ol",2,gnd:4824103-9; gnd:4824104-0,gnd:4824103-9:alt; gnd:4824104-0:alt,0,2
dimili,Dimili,2,gnd:1315521261; gnd:4067415-0,gnd:1315521261:alt; gnd:4067415-0:alt,0,2
ding an sich,Ding an Sich,2,gnd:4220890-7; gnd:4746100-7,gnd:4220890-7:pref; gnd:4746100-7:alt,1,1
disperses system,Disperses System,2,gnd:4012484-8; gnd:4404003-9,gnd:4012484-8:alt; gnd:4404003-9:alt,0,2
distanzmessung,Distanzmessung,2,gnd:4014857-9; gnd:4195923-1,gnd:4014857-9:alt; gnd:4195923-1:alt,0,2
dithiokohlensäure,Dithiokohlensäure,2,gnd:4150285-1; gnd:4645334-9,gnd:4150285-1:pref; gnd:4645334-9:alt,1,1
dithranol,Dithranol,2,gnd:4150301-6; gnd:4255013-0,gnd:4150301-6:pref; gnd:4255013-0:alt,1,1
dll,dll,2,gnd:1162068213; gnd:4149039-3,gnd:1162068213:pref; gnd:4149039-3:alt,1,1
dmn,DMN,2,gnd:1059230968; gnd:1118765370,gnd:1059230968:alt; gnd:1118765370:pref,1,1
dms,DMS,2,gnd:4011306-1; gnd:4236807-8,gnd:4011306-1:alt; gnd:4236807-8:alt,0,2
dod,dod,2,gnd:1162068272; gnd:7691801-4,gnd:1162068272:alt; gnd:7691801-4:alt,0,2
dom,DOM,2,gnd:1050963423; gnd:4070532-8,gnd:1050963423:alt; gnd:4070532-8:pref,1,1
domain-specific language,Domain-specific Language,2,gnd:1273511786; gnd:7585264-0,gnd:1273511786:alt; gnd:7585264-0:alt,0,2
dome,DOMe,2,gnd:1036356655; gnd:4070532-8,gnd:1036356655:alt; gnd:4070532-8:alt,0,2
dominica xxii. post trinitatis,Dominica XXII. post Trinitatis,2,gnd:118449472X; gnd:1184497923,gnd:118449472X:alt; gnd:1184497923:alt,0,2
donaubulgarisch,Donaubulgarisch,2,gnd:4402068-5; gnd:7544430-6,gnd:4402068-5:alt; gnd:7544430-6:alt,0,2
dong,Dong,2,gnd:4545561-2; gnd:4585865-2,gnd:4545561-2:alt; gnd:4585865-2:pref,1,1
donnerkeil,Donnerkeil,2,gnd:1286106745; gnd:4136276-7,gnd:1286106745:alt; gnd:4136276-7:alt,0,2
donquichottiade,Donquichottiade,2,gnd:107191944X; gnd:4205538-6,gnd:107191944X:alt; gnd:4205538-6:pref,1,1
doppellokomotive,Doppellokomotive,2,gnd:4669158-3; gnd:4669159-5,gnd:4669158-3:alt; gnd:4669159-5:alt,0,2
dorobo,Dorobo,2,gnd:4351530-7; gnd:4756692-9,gnd:4351530-7:pref; gnd:4756692-9:alt,1,1
dosierung,Dosierung,2,gnd:4150484-7; gnd:4150489-6,gnd:4150484-7:alt; gnd:4150489-6:alt,0,2
dourou,Dourou,2,gnd:4708377-3; gnd:7578329-0,gnd:4708377-3:alt; gnd:7578329-0:alt,0,2
dpn,DPN,2,gnd:4171080-0; gnd:7841984-0,gnd:4171080-0:alt; gnd:7841984-0:alt,0,2
dpp,DPP,2,gnd:4249521-0; gnd:4819531-5,gnd:4249521-0:alt; gnd:4819531-5:alt,0,2
drainasphalt,Drainasphalt,2,gnd:4229022-3; gnd:7542629-8,gnd:4229022-3:alt; gnd:7542629-8:alt,0,2
dramatik,Dramatik,2,gnd:4012899-4; gnd:4138861-6,gnd:4012899-4:alt; gnd:4138861-6:alt,0,2
dreifarbendruck,Dreifarbendruck,2,gnd:4410191-0; gnd:7573549-0,gnd:4410191-0:pref; gnd:7573549-0:alt,1,1
drift,Drift,2,gnd:125407791X; gnd:4209327-2,gnd:125407791X:alt; gnd:4209327-2:pref,1,1
drogeneinzelhandel,Drogeneinzelhandel,2,gnd:4002466-0; gnd:4129689-8,gnd:4002466-0:alt; gnd:4129689-8:alt,0,2
druck und design 2.0,Druck und Design 2.0,2,gnd:4462456-6; gnd:4465012-7,gnd:4462456-6:alt; gnd:4465012-7:alt,0,2
druckkopf,Druckkopf,2,gnd:1204275823; gnd:4150777-0,gnd:1204275823:pref; gnd:4150777-0:alt,1,1
dsl,DSL,2,gnd:1273511786; gnd:4539464-7,gnd:1273511786:alt; gnd:4539464-7:pref,1,1
dystrophia myotonica,Dystrophia myotonica,2,gnd:1232330167; gnd:4170976-7,gnd:1232330167:alt; gnd:4170976-7:alt,0,2
dzindza,Dzindza,2,gnd:4631591-3; gnd:7673640-4,gnd:4631591-3:alt; gnd:7673640-4:alt,0,2
e 11,E 11,2,gnd:4488727-9; gnd:4571513-0,gnd:4488727-9:alt; gnd:4571513-0:alt,0,2
eat,EAT,2,gnd:1076289088; gnd:4151134-7,gnd:1076289088:alt; gnd:4151134-7:alt,0,2
ebd,EBD,2,gnd:1024553361; gnd:4540403-3,gnd:1024553361:alt; gnd:4540403-3:alt,0,2
ec,EC,2,gnd:4153157-7; gnd:4643174-3,gnd:4153157-7:alt; gnd:4643174-3:alt,0,2
ec 2.3.1.23,EC 2.3.1.23,2,gnd:4478102-7; gnd:4601994-7,gnd:4478102-7:alt; gnd:4601994-7:alt,0,2
ec 2.3.1.97,EC 2.3.1.97,2,gnd:4398351-0; gnd:4691327-0,gnd:4398351-0:alt; gnd:4691327-0:alt,0,2
ec 2.3.2.2,EC 2.3.2.2,2,gnd:4157713-9; gnd:4644670-9,gnd:4157713-9:alt; gnd:4644670-9:alt,0,2
ec 2.7.1.-,EC 2.7.1.-,2,gnd:1059654881; gnd:4791569-9,gnd:1059654881:alt; gnd:4791569-9:alt,0,2
ec 2.7.1.11,EC 2.7.1.11,2,gnd:4332054-5; gnd:7623447-2,gnd:4332054-5:alt; gnd:7623447-2:alt,0,2
ec 2.7.1.112,EC 2.7.1.112,2,gnd:4409305-6; gnd:7626525-0,gnd:4409305-6:alt; gnd:7626525-0:alt,0,2
ec 2.7.11.1,EC 2.7.11.1,2,gnd:113813029X; gnd:1261925823,gnd:113813029X:alt; gnd:1261925823:alt,0,2
ec 2.7.7.4,EC 2.7.7.4,2,gnd:4405148-7; gnd:4666649-7,gnd:4405148-7:alt; gnd:4666649-7:alt,0,2
ec 3.1.26.5,EC 3.1.26.5,2,gnd:4316420-1; gnd:4353936-1,gnd:4316420-1:alt; gnd:4353936-1:alt,0,2
ec 3.1.3.16,EC 3.1.3.16,2,gnd:4248815-1; gnd:4441342-7,gnd:4248815-1:alt; gnd:4441342-7:alt,0,2
ec 3.4.21.14,EC 3.4.21.14,2,gnd:4175985-0; gnd:4335554-7,gnd:4175985-0:alt; gnd:4335554-7:alt,0,2
ec 3.4.21.37,EC 3.4.21.37,2,gnd:1071079964; gnd:4290011-6,gnd:1071079964:alt; gnd:4290011-6:alt,0,2
ec 3.4.24.21,EC 3.4.24.21,2,gnd:4319191-5; gnd:4724069-6,gnd:4319191-5:alt; gnd:4724069-6:alt,0,2
ec 4.1.2.17,EC 4.1.2.17,2,gnd:4348470-0; gnd:4455503-9,gnd:4348470-0:alt; gnd:4455503-9:alt,0,2
ec 4.3.2.1,EC 4.3.2.1,2,gnd:4621112-3; gnd:4629003-5,gnd:4621112-3:alt; gnd:4629003-5:alt,0,2
ecl,ECL,2,gnd:110686669X; gnd:4327813-9,gnd:110686669X:alt; gnd:4327813-9:alt,0,2
ecm,ECM,2,gnd:103238512X; gnd:7530993-2,gnd:103238512X:alt; gnd:7530993-2:alt,0,2
ecp,ECP,2,gnd:4201793-2; gnd:4631133-6,gnd:4201793-2:alt; gnd:4631133-6:alt,0,2
ecu,ECU,2,gnd:103238512X; gnd:4131675-7,gnd:103238512X:alt; gnd:4131675-7:pref,1,1
ed,ed,2,gnd:1162073551; gnd:4651335-8,gnd:1162073551:pref; gnd:4651335-8:pref,2,0
edm,EDM,2,gnd:1026546869; gnd:1310847843,gnd:1026546869:alt; gnd:1310847843:alt,0,2
eds,EDS,2,gnd:4123137-5; gnd:7680644-3,gnd:4123137-5:alt; gnd:7680644-3:alt,0,2
edt,EDT,2,gnd:4125187-8; gnd:4611123-2,gnd:4125187-8:pref; gnd:4611123-2:alt,1,1
eeg,EEG,2,gnd:4014254-1; gnd:4070747-7,gnd:4014254-1:alt; gnd:4070747-7:alt,0,2
egpa,EGPA,2,gnd:4151091-4; gnd:4302465-8,gnd:4151091-4:pref; gnd:4302465-8:alt,1,1
egun,Egun,2,gnd:1205170707; gnd:4238580-5,gnd:1205170707:alt; gnd:4238580-5:alt,0,2
ehegattenveranlagung,Ehegattenveranlagung,2,gnd:4151099-9; gnd:4475174-6,gnd:4151099-9:alt; gnd:4475174-6:alt,0,2
eheverfahren,Eheverfahren,2,gnd:4113383-3; gnd:4151112-8,gnd:4113383-3:alt; gnd:4151112-8:alt,0,2
eigentumsübergang,Eigentumsübergang,2,gnd:4132511-4; gnd:4132512-6,gnd:4132511-4:alt; gnd:4132512-6:alt,0,2
einheitssprache,Einheitssprache,2,gnd:4077831-9; gnd:4186923-0,gnd:4077831-9:alt; gnd:4186923-0:alt,0,2
eis,Eis,2,gnd:4013994-3; gnd:4161400-8,gnd:4013994-3:pref; gnd:4161400-8:alt,1,1
"eisen,mangan","Eisen,Mangan",2,gnd:4151561-4; gnd:4553851-7,gnd:4151561-4:alt; gnd:4553851-7:alt,0,2
eka,EKA,2,gnd:4324906-1; gnd:4423345-0,gnd:4324906-1:alt; gnd:4423345-0:alt,0,2
ekari,Ekari,2,gnd:1053988192; gnd:4266394-5,gnd:1053988192:alt; gnd:4266394-5:alt,0,2
ekegusii,Ekegusii,2,gnd:4094298-3; gnd:4566063-3,gnd:4094298-3:alt; gnd:4566063-3:alt,0,2
ekg,EKG,2,gnd:4014280-2; gnd:4070750-7,gnd:4014280-2:alt; gnd:4070750-7:alt,0,2
ekibena,EkiBena,2,gnd:1071880357; gnd:7576620-6,gnd:1071880357:alt; gnd:7576620-6:alt,0,2
elektrolokomotive baureihe e 10 001,Elektrolokomotive Baureihe E 10 001,2,gnd:7754783-4; gnd:7759288-8,gnd:7754783-4:pref; gnd:7759288-8:alt,1,1
"elektron,elektron","Elektron,Elektron",2,gnd:4151858-5; gnd:4151859-7,gnd:4151858-5:alt; gnd:4151859-7:alt,0,2
elema,Elema,2,gnd:4529766-6; gnd:4535754-7,gnd:4529766-6:alt; gnd:4535754-7:pref,1,1
elf,ELF,2,gnd:115679191X; gnd:4564209-6,gnd:115679191X:pref; gnd:4564209-6:alt,1,1
elternerziehung,Elternerziehung,2,gnd:4014521-9; gnd:4016409-3,gnd:4014521-9:alt; gnd:4016409-3:alt,0,2
em,em,2,gnd:4014326-0; gnd:4551675-3,gnd:4014326-0:alt; gnd:4551675-3:pref,1,1
"emigrant,flüchtling","Emigrant,Flüchtling",2,gnd:4017604-6; gnd:4175042-1,gnd:4017604-6:alt; gnd:4175042-1:alt,0,2
emp,EMP,2,gnd:4788871-4; gnd:7855125-0,gnd:4788871-4:alt; gnd:7855125-0:alt,0,2
